本卦(貞卦)-狀況,象,八宮卦象(世應爻),序卦傳-卦爻評價,"*交卦-完全對立面且有相似之處
上下卦對調","錯卦(對卦.旁通卦)-另一個立場or過去變化歷程
陰陽相反/鏡射","綜卦(覆卦.反對卦)-對方角度or解決之道
旋轉180度/顛倒","互卦(交互卦.互體卦.卦中卦)-發展過程
1234","互卦(交互卦.互體卦.卦中卦)-發展過程
2345","互卦(交互卦.互體卦.卦中卦)-發展過程
3456","互卦(交互卦.互體卦.卦中卦)-發展過程
12345","互卦(交互卦.互體卦.卦中卦)-發展過程
23456","之卦(變卦.悔卦)-結果(比本卦晚一個時態)
一單爻變","之卦(變卦.悔卦)-結果(比本卦晚一個時態)
二單爻變","之卦(變卦.悔卦)-結果(比本卦晚一個時態)
三單爻變","之卦(變卦.悔卦)-結果(比本卦晚一個時態)
四單爻變","之卦(變卦.悔卦)-結果(比本卦晚一個時態)
五單爻變","之卦(變卦.悔卦)-結果(比本卦晚一個時態)
六單爻變",備註
乾䷀1(64),天,乾宮金本宮,"萬物消息(主)-創造.勇猛.精進.不屈不撓.理直氣壯.自強不息.無限的開拓力量.元(創造)亨(通達)利(權貴)貞(固守)-四德俱全
開天闢地-初爻:潛龍勿用/二爻:見龍再田/三爻:終日乾乾/四爻:或躍在淵/五爻:飛龍在天/上爻:亢龍有悔/用九:群龍無首",乾䷀1(64),坤䷁2(1),乾䷀1(64),乾䷀1(64),乾䷀1(64),乾䷀1(64),乾䷀1(64),乾䷀1(64),姤䷫44(32),同人䷌13(48),履䷉10(56),小畜䷈9(60),大有䷍14(62),夬䷪43(63),十二辟卦(十二消息卦)/息卦.4月(巳月:立夏-小滿-芒種)/巳時(9點~11點)/甲壬/蛇/火.後天(西北/四隅卦(秋接冬-三節氣:戌乾亥)).先天(南).說卦傳卦象(金/健/父/馬/頭/腦).儒家
坤䷁2(1),地,坤宮土本宮,"萬物消息(從)-包容.接應.至柔.理對應的""勢""(阻力.阻礙.險難.順勢).申(伸張.實踐)田(奮鬥.扎根.耕耘.吸收)甲(成就.獲取)由(自由.節制.平衡.超脫.死地後生.順應自然)-但書版元亨利貞
後得戴物-初爻:防微杜漸/上爻:山窮水盡/三爻:忍耐為上/四爻:謹言慎行/五爻:無為而治/二爻:循規蹈矩/用六:利永貞",坤䷁2(1),乾䷀1(64),坤䷁2(1),坤䷁2(1),坤䷁2(1),坤䷁2(1),坤䷁2(1),坤䷁2(1),復䷗24(33),師䷆7(17),謙䷎15(9),豫䷏16(5),比䷇8(3),剝䷖23(2),十二辟卦(十二消息卦)/消卦.10月(亥月:立冬-小雪-大雪)/亥時(21點~23點)/乙癸/豬/水.後天(西南/四隅卦(夏接秋-三節氣:未坤申)).先天(北).說卦傳卦象(土/順/母/牛/腹/脾).道家
屯䷂3(35),水雷,坎宮水二世,清新純潔-創業維艱-初爻:勇猛精進/五爻:自身難保困苦不堪/四爻:下體民意仰承上意/上爻:泣血悲情無濟於事/二爻:棄近利圖遠功/三爻:能捨才能得,解䷧40(21),鼎䷱50(30),蒙䷃4(18),復䷗24(33),剝䷖23(2),蹇䷦39(11),頤䷚27(34),比䷇8(3),比䷇8(3),節䷻60(51),既濟䷾63(43),隨䷐17(39),復䷗24(33),益䷩42(36),"音為""諄"".難卦(但書版元亨利貞)"
蒙䷃4(18),山水,離宮火四世,蒙蔽蒙騙-啟蒙教育-二爻:無所不包/上爻:正當防衛/四爻:困蒙之吝/五爻:移樽就教/三爻:情慾蒙蔽理智/初爻:利用典範,蹇䷦39(11),革䷰49(47),屯䷂3(35),解䷧40(21),復䷗24(33),剝䷖23(2),師䷆7(17),頤䷚27(34),損䷨41(50),剝䷖23(2),蠱䷑18(26),未濟䷿64(22),渙䷺59(20),師䷆7(17),"缺""元"""
需䷄5(59),水天,坤宮土遊魂,飲食之道-資源發展-初爻:長遠佈局/二爻:沉著鎮定/三爻:敬慎不敗/四爻:順應民意/五爻:共享資源/上爻:賓主盡歡,訟䷅6(24),晉䷢35(6),訟䷅6(24),夬䷪43(63),睽䷥38(54),既濟䷾63(43),大有䷍14(62),節䷻60(51),井䷯48(27),既濟䷾63(43),節䷻60(51),夬䷪43(63),泰䷊11(57),小畜䷈9(60),
訟䷅6(24),天水,離宮火遊魂,爭執-消訟彌爭-五爻:大人得位/初爻:和為貴/上爻:患得患失/三爻:訴諸舊德/四爻:放下姿態/二爻:形勢比人強,需䷄5(59),明夷䷣36(41),需䷄5(59),未濟䷿64(22),家人䷤37(44),姤䷫44(32),渙䷺59(20),同人䷌13(48),履䷉10(56),否䷋12(8),姤䷫44(32),渙䷺59(20),未濟䷿64(22),困䷮47(23),
師䷆7(17),地水,坎宮水歸魂,興兵群眾-兵機韜略-初爻:軍紀重於一切/二爻:剛柔並濟/四爻:將相和/三爻:切勿掣肘/五爻:充分信任/上爻:論功行賞場罰分明,比䷇8(3),同人䷌13(48),比䷇8(3),解䷧40(21),復䷗24(33),坤䷁2(1),師䷆7(17),復䷗24(33),臨䷒19(49),坤䷁2(1),升䷭46(25),解䷧40(21),習坎䷜29(19),蒙䷃4(18),
比䷇8(3),水地,坤宮土歸魂,親近比較-縱橫天下-四爻:敦親睦鄰/二爻:獨立自主/上爻:不得善終/三爻:交錯對象/初爻:誠信為先/五爻:王者風範,師䷆7(17),大有䷍14(62),師䷆7(17),坤䷁2(1),剝䷖23(2),蹇䷦39(11),剝䷖23(2),比䷇8(3),屯䷂3(35),習坎䷜29(19),蹇䷦39(11),萃䷬45(7),坤䷁2(1),觀䷓20(4),
小畜䷈9(60),風天,巽宮木一世,集合積蓄-以小博大-初爻:自覺承擔/二爻:見賢思齊/三爻:夫妻反目/四爻:互信機制/五爻:富利共享/上爻:自我節制,姤䷫44(32),豫䷏16(5),履䷉10(56),夬䷪43(63),睽䷥38(54),家人䷤37(44),大有䷍14(62),中孚䷼61(52),巽䷸57(28),家人䷤37(44),中孚䷼61(52),乾䷀1(64),大畜䷙26(58),需䷄5(59),
履䷉10(56),天澤,艮宮土五世,實踐禮節-履險如夷-初爻:特立獨行/二爻:緊守中道/三爻:志行失當/四爻:低調謹慎/五爻:殺伐決斷/上爻:有德者必有言,夬䷪43(63),謙䷎15(9),小畜䷈9(60),睽䷥38(54),家人䷤37(44),姤䷫44(32),中孚䷼61(52),同人䷌13(48),訟䷅6(24),无妄䷘25(40),乾䷀1(64),中孚䷼61(52),睽䷥38(54),兌䷹58(55),憂患九卦
泰䷊11(57),地天,坤宮土三世,通達暢通-國泰民安-初爻:縱向橫向的規劃/二爻:智仁勇兼備/三爻:危機意識/上爻:霸業成空/五爻:政治聯姻/四爻:蝴蝶效應,否䷋12(8),否䷋12(8),否䷋12(8),夬䷪43(63),歸妹䷵54(53),復䷗24(33),大壯䷡34(61),臨䷒19(49),升䷭46(25),明夷䷣36(41),臨䷒19(49),大壯䷡34(61),需䷄5(59),大畜䷙26(58),十二辟卦(十二消息卦).1月(寅月:立春-雨水-驚蟄)寅時(3點~5點)/虎/木
否䷋12(8),天地,乾宮金三世,閉塞不通-儉德避難-初爻:洞察形勢/二爻:獨力承受艱難/三爻:人間地獄/四爻:振衰起敝/上爻:眾志成城/五爻:培元固本,泰䷊11(57),泰䷊11(57),泰䷊11(57),剝䷖23(2),漸䷴53(12),姤䷫44(32),觀䷓20(4),遯䷠33(16),无妄䷘25(40),訟䷅6(24),遯䷠33(16),觀䷓20(4),晉䷢35(6),萃䷬45(7),十二辟卦(十二消息卦).7月(申月:立秋-處暑-白露)申時(15點~17點)/猴/金
同人䷌13(48),添火,離宮火歸魂,會同協同-通志成務-初爻:邁出國門/二爻:族群意識/三爻:安分守己/四爻:尊重現實/五爻:先苦後甜/上爻:無怨無悔,大有䷍14(62),師䷆7(17),大有䷍14(62),家人䷤37(44),姤䷫44(32),乾䷀1(64),同人䷌13(48),姤䷫44(32),遯䷠33(16),乾䷀1(64),无妄䷘25(40),家人䷤37(44),離䷝30(46),革䷰49(47),
大有䷍14(62),火天,乾宮金歸魂,大成就-世界大同-初爻:去除偏見/二爻:貨暢其流/三爻:回饋社會/四爻:反戰思想/五爻:進信修睦/上爻:天助自助,同人䷌13(48),比䷇8(3),同人䷌13(48),乾䷀1(64),夬䷪43(63),睽䷥38(54),夬䷪43(63),大有䷍14(62),鼎䷱50(30),離䷝30(46),睽䷥38(54),大畜䷙26(58),乾䷀1(64),大壯䷡34(61),
謙䷎15(9),地山,兌宮金五世,謙虛-有終之美-三爻:萬民景服/初爻:低調再低調/二爻:造勢之力/四爻:精神利用/五爻:當仁不讓/上爻:正義之戰,剝䷖23(2),履䷉10(56),豫䷏16(5),蹇䷦39(11),解䷧40(21),復䷗24(33),小過䷽62(13),師䷆7(17),明夷䷣36(41),升䷭46(25),坤䷁2(1),小過䷽62(13),蹇䷦39(11),艮䷳52(10),憂患九卦.唯一卦爻全吉
豫䷏16(5),雷地,震宮木一世,寬裕快樂(坤-由)-建侯行師-四爻:整合強力/初爻:失去自我/三爻:旺衡失當/五爻:忍辱偷生/二爻:復興力量/上爻:破碎之夢,復䷗24(33),小畜䷈9(60),謙䷎15(9),剝䷖23(2),蹇䷦39(11),解䷧40(21),比䷇8(3),小過䷽62(13),震䷲51(37),解䷧40(21),小過䷽62(13),坤䷁2(1),萃䷬45(7),晉䷢35(6),
隨䷐17(39),澤雷,震宮木歸魂,跟隨-隨機應變-初爻:彈性原則/二爻:隨時選擇/三爻:能捨才能得/四爻:溝通保身/五爻:眾望所歸/上爻:不離不棄,歸妹䷵54(53),蠱䷑18(26),蠱䷑18(26),頤䷚27(34),漸䷴53(12),大過䷛28(31),益䷩42(36),咸䷞31(15),萃䷬45(7),兌䷹58(55),革䷰49(47),屯䷂3(35),震䷲51(37),无妄䷘25(40),(但書版元亨利貞)
